Time,Temp,Pressure,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
1629888595.1113932,23.0625,1027.2668472919113,24,-1792,14368,522,2,69,0,0,0
1629888596.622335,23.0625,1027.2668472919113,168,-3840,14336,24,-222,132,0,0,0
1629888598.1342165,23.046875,1027.2668472919113,128,-1920,15168,4,129,-238,0,0,0
1629888599.6460729,23.0625,1027.305565685561,128,-3904,14984,34,-446,24,0,0,0
1629888601.1581464,23.078125,1027.305565685561,160,-1928,14912,32,388,2,0,0,0
1629888602.6706262,23.0390625,1027.305565685561,8,-2032,14400,131,833,-480,0,0,0
1629888604.1826026,23.1171875,1027.305565685561,72,-2048,15112,257,93,9,0,0,0
1629888605.6947203,23.0703125,1027.305565685561,224,-1944,14672,336,256,16,0,0,0
1629888607.2067993,23.09375,1027.344284079211,96,-1760,15104,21,263,96,0,0,0
1629888608.7192476,23.078125,1027.344284079211,0,-2008,14352,68,-511,1,0,0,0
1629888610.2320087,23.078125,1027.1548163928894,288,-2016,14408,-192,261,102,0,0,0
1629888611.7446902,23.1015625,1027.344284079211,64,-1984,14376,290,-62,265,0,0,0
1629888613.257857,23.1171875,1027.1548163928894,0,-2008,15168,146,-670,-253,0,0,0
1629888614.767676,23.125,1027.3830024728609,16,-1920,15120,26,-318,192,0,0,0
1629888616.2797515,23.1015625,1027.3830024728609,96,-1728,14352,97,288,0,0,0,0
1629888617.7923007,23.1015625,1027.3830024728609,8,-2048,14336,64,5,-342,0,0,0
1629888619.3024402,23.125,1027.421720866511,16,-2032,14864,272,8,32,0,0,0
1629888620.8119028,23.1328125,1027.421720866511,0,-1920,14992,8,34,0,0,0,0
1629888622.323504,23.1171875,1027.421720866511,96,-2040,14352,272,-378,1,0,0,0
1629888623.8327987,23.109375,1027.421720866511,296,-1920,14352,144,21,132,0,0,0
1629888625.3445249,23.1328125,1027.2322391200496,144,-1912,14336,-383,136,-464,0,0,0
1629888626.856278,23.15625,1027.2709504836298,8,-2048,15128,30,97,50,0,0,0
1629888628.3685126,23.1484375,1027.2709504836298,152,-1920,14336,-256,146,0,0,0,0
1629888629.880619,23.1328125,1027.2709504836298,256,-2000,15104,68,-248,-112,0,0,0
1629888631.393584,23.1640625,1027.2709504836298,8,-1912,14432,-224,33,0,0,0,0
1629888632.9056523,23.125,1027.2709504836298,8,-1848,15416,96,-250,146,0,0,0
1629888634.4152644,23.140625,1027.1201660406089,312,-1984,14368,40,138,3,0,0,0
1629888635.924145,23.1640625,1027.3096618472098,16,-1760,14856,32,541,-240,0,0,0
1629888637.4358766,23.1640625,1027.3096618472098,64,-2048,14336,-94,319,87,0,0,0
1629888638.9475603,23.1796875,1027.1201660406089,16,-1792,14336,38,-703,45,0,0,0
1629888640.4599948,23.1640625,1027.3096618472098,16,-2032,14432,258,-512,4,0,0,0
1629888641.9728432,23.1875,1027.3483732107898,96,-1944,15176,120,-384,-255,0,0,0
1629888643.4854064,23.1640625,1027.158870374119,136,-2008,15168,66,-494,520,0,0,0
1629888644.9979408,23.1796875,1027.158870374119,96,-1744,14336,144,160,16,0,0,0
1629888646.5101645,23.1875,1027.3483732107898,320,-2032,15112,202,-189,-608,0,0,0
1629888648.0222187,23.1796875,1027.3483732107898,80,-1792,15264,8,-492,260,0,0,0
1629888649.5342069,23.203125,1027.38708457437,288,-1664,15232,68,0,1,0,0,0
1629888651.0464911,23.21875,1027.38708457437,240,-2016,14408,-224,-416,-191,0,0,0
1629888652.559049,23.1796875,1027.38708457437,16,-1984,14368,35,-384,144,0,0,0
1629888654.0715394,23.1796875,1027.1975747076294,96,-1984,15176,17,-507,76,0,0,0
1629888655.5835333,23.2421875,1027.38708457437,64,-1896,14848,133,0,40,0,0,0
1629888657.0954597,23.2265625,1027.2362790411396,0,-1856,15144,-115,3,-512,0,0,0
1629888658.6082985,23.1875,1027.42579593795,136,-1920,15256,56,0,38,0,0,0
1629888660.1202645,23.2109375,1027.42579593795,368,-2048,14936,3,-28,32,0,0,0
1629888661.6321027,23.21875,1027.2362790411396,160,-2016,14408,256,161,17,0,0,0
1629888663.1440716,23.2109375,1027.42579593795,24,-1712,14976,0,-176,-158,0,0,0
1629888664.6563876,23.2265625,1027.42579593795,160,-2048,14400,142,0,32,0,0,0
1629888666.169201,23.234375,1027.2362790411396,16,-1768,14344,0,-783,33,0,0,0
1629888667.6821454,23.21875,1027.27498337465,152,-1880,15312,0,-128,65,0,0,0
1629888669.194282,23.21875,1027.42579593795,128,-1784,14976,-92,2,80,0,0,0
1629888670.7070901,23.2421875,1027.27498337465,112,-3872,15040,-248,-495,0,0,0,0
1629888672.219378,23.2421875,1027.0854594477696,128,-3872,15008,327,2,-176,0,0,0
1629888673.7312613,23.2578125,1027.27498337465,32,-3840,14400,152,-480,29,0,0,0
1629888675.2440407,23.2265625,1027.0854594477696,8,-1920,14528,169,-736,16,0,0,0
1629888676.7562277,23.2421875,1027.3136877081602,64,-1728,14336,129,-384,260,0,0,0
1629888678.2692337,23.25,1027.0854594477696,8,-2048,14856,356,37,8,0,0,0
1629888679.7820933,23.25,1027.3136877081602,0,-1984,14848,-254,6,104,0,0,0
1629888681.2942863,23.2734375,1027.3136877081602,136,-1920,14336,-64,-63,-32,0,0,0
1629888682.8065405,23.2421875,1027.1241567512102,256,-1784,14352,96,-384,41,0,0,0
1629888684.3190413,23.2421875,1027.3136877081602,72,-1760,15168,73,65,65,0,0,0
1629888685.8309658,23.25,1027.3136877081602,0,-2048,15192,-242,3,8,0,0,0
1629888687.3423533,23.2421875,1027.3136877081602,144,-2048,14864,64,-511,260,0,0,0
1629888688.8548255,23.296875,1027.3523920416703,176,-1888,15200,-412,-383,-495,0,0,0
1629888690.3678844,23.2578125,1027.3523920416703,272,-1880,15128,132,-798,73,0,0,0
1629888691.88006,23.2578125,1027.3136877081602,64,-1888,14336,-495,-342,-254,0,0,0
1629888693.3891997,23.2734375,1027.3523920416703,136,-1848,15168,-182,48,32,0,0,0
1629888694.9011073,23.265625,1027.201551358091,336,-2048,14384,4,-472,17,0,0,0
1629888696.4123461,23.296875,1027.1628540546506,344,-2048,14336,-108,-464,149,0,0,0
1629888697.9230409,23.3125,1027.3910963751807,64,-2048,15112,64,8,16,0,0,0
1629888699.43303,23.296875,1027.201551358091,72,-2000,15048,152,514,263,0,0,0
1629888700.9419274,23.2734375,1027.201551358091,80,-1856,15152,32,-512,132,0,0,0
1629888702.4538214,23.2734375,1027.201551358091,0,-1984,14352,200,-448,164,0,0,0
1629888703.965422,23.296875,1027.201551358091,56,-3976,14440,2,4,10,0,0,0
1629888705.478099,23.3359375,1027.201551358091,168,-2048,14400,104,0,139,0,0,0
1629888706.9905012,23.3125,1027.3910963751807,8,-1656,14984,-237,0,0,0,0,0
1629888708.5006053,23.3125,1027.201551358091,352,-3712,14352,256,-381,8,0,0,0
1629888710.0135872,23.3203125,1027.201551358091,144,-2048,14352,3,-404,0,0,0,0
1629888711.5264485,23.3046875,1027.201551358091,8,-2008,14336,0,-877,264,0,0,0
1629888713.0386882,23.3125,1027.2402486615313,96,-1992,15232,22,-314,88,0,0,0
1629888714.5512915,23.328125,1027.201551358091,136,-2048,14944,288,64,-384,0,0,0
1629888716.0641832,23.2890625,1027.2402486615313,184,-1984,14344,92,48,-440,0,0,0
1629888717.577445,23.296875,1027.2402486615313,64,-1792,14368,9,12,84,0,0,0
1629888719.0872567,23.3359375,1027.0506966143719,32,-1752,14400,131,-180,0,0,0,0
1629888720.599183,23.3046875,1027.2402486615313,16,-2008,15072,26,-405,3,0,0,0
1629888722.1114552,23.3125,1027.2402486615313,64,-1888,15040,-344,128,154,0,0,0
1629888723.6242113,23.3046875,1027.0893868877424,88,-1984,14976,0,18,51,0,0,0
1629888725.1340303,23.3359375,1027.2402486615313,48,-3936,14480,-208,386,84,0,0,0
1629888726.6466427,23.3203125,1027.2789459649719,-1024,-1984,16240,-215,-508,-384,0,0,0
1629888728.158805,23.3046875,1027.2789459649719,32,-2040,14336,416,132,67,0,0,0
1629888729.672363,23.3203125,1027.2789459649719,144,-1792,15200,278,-512,144,0,0,0
1629888731.1849742,23.328125,1027.2789459649719,40,-2048,14336,43,52,24,0,0,0
1629888732.6985073,23.3046875,1027.468505042201,264,-3880,14432,-124,-444,-319,0,0,0
1629888734.2083051,23.3203125,1027.2789459649719,64,-2008,15184,292,4,1,0,0,0
1629888735.720296,23.328125,1027.0893868877424,328,-1984,15128,52,32,52,0,0,0
1629888737.2316813,23.3203125,1027.2789459649719,32,-1920,14344,8,-90,594,0,0,0
